La085Sr015FeO3_700_ramp-00068.xye	r_wp	volume	error	ka	error	kc	error	OoccTotal	error	Oocc1	error	crys_gaus	error	strain_gaus	error 
La085Sr015FeO3_700_red-00082.xye    10.70961   371.95497     0.01878     5.60430     0.00010    13.67467     0.00048     2.47801     0.02523     0.82600     0.00841    46.73668     0.35321     0.26170     0.00796
La085Sr015FeO3_700_red-00083.xye    10.70371   371.97355     0.01875     5.60442     0.00010    13.67477     0.00048     2.47929     0.02524     0.82643     0.00841    46.73085     0.35376     0.26209     0.00796
La085Sr015FeO3_700_red-00084.xye    10.69519   371.97351     0.01877     5.60442     0.00010    13.67476     0.00048     2.47789     0.02521     0.82596     0.00840    46.73406     0.35406     0.26318     0.00795
La085Sr015FeO3_700_red-00085.xye    10.69868   371.97080     0.01893     5.60441     0.00010    13.67470     0.00049     2.47882     0.02526     0.82627     0.00842    46.71587     0.35595     0.26596     0.00795
La085Sr015FeO3_700_red-00086.xye    10.70985   371.96517     0.01898     5.60439     0.00010    13.67462     0.00049     2.47941     0.02528     0.82647     0.00843    46.68938     0.35605     0.26680     0.00794
La085Sr015FeO3_700_red-00087.xye    10.69806   371.96226     0.01907     5.60438     0.00010    13.67456     0.00049     2.47734     0.02528     0.82578     0.00843    46.65868     0.35656     0.26859     0.00794
La085Sr015FeO3_700_red-00088.xye    10.70565   371.96240     0.01909     5.60438     0.00010    13.67455     0.00049     2.47768     0.02528     0.82589     0.00843    46.65756     0.35695     0.26905     0.00794
La085Sr015FeO3_700_red-00089.xye    10.71281   371.96104     0.01915     5.60438     0.00010    13.67450     0.00049     2.47788     0.02529     0.82596     0.00843    46.64137     0.35753     0.27022     0.00794
La085Sr015FeO3_700_red-00090.xye    10.71626   371.96257     0.01924     5.60440     0.00010    13.67448     0.00050     2.47699     0.02534     0.82566     0.00845    46.63040     0.35897     0.27184     0.00794
La085Sr015FeO3_700_red-00091.xye    10.73933   371.95830     0.01939     5.60439     0.00010    13.67435     0.00050     2.47765     0.02539     0.82588     0.00846    46.58271     0.36038     0.27458     0.00794
La085Sr015FeO3_700_red-00092.xye    10.73593   371.93794     0.01958     5.60428     0.00011    13.67414     0.00050     2.47703     0.02540     0.82568     0.00847    46.54905     0.36119     0.27710     0.00793
La085Sr015FeO3_700_red-00093.xye    10.76096   371.95848     0.01959     5.60442     0.00011    13.67422     0.00051     2.47706     0.02547     0.82569     0.00849    46.54111     0.36296     0.27840     0.00794
La085Sr015FeO3_700_red-00094.xye    10.74049   371.96411     0.01968     5.60446     0.00011    13.67425     0.00051     2.47845     0.02545     0.82615     0.00848    46.51536     0.36349     0.28032     0.00793
La085Sr015FeO3_700_red-00095.xye    10.75358   371.96023     0.01985     5.60443     0.00011    13.67424     0.00051     2.47653     0.02549     0.82551     0.00850    46.49088     0.36442     0.28241     0.00793
La085Sr015FeO3_700_red-00096.xye    10.79077   371.95465     0.02002     5.60440     0.00011    13.67415     0.00052     2.47681     0.02558     0.82560     0.00853    46.46940     0.36657     0.28437     0.00795
La085Sr015FeO3_700_red-00097.xye    10.79329   371.94846     0.02011     5.60438     0.00011    13.67404     0.00052     2.47631     0.02560     0.82544     0.00853    46.42679     0.36716     0.28599     0.00796
La085Sr015FeO3_700_red-00098.xye    10.81205   371.93985     0.02021     5.60435     0.00011    13.67389     0.00052     2.47812     0.02565     0.82604     0.00855    46.43971     0.36906     0.28781     0.00796
La085Sr015FeO3_700_red-00099.xye    10.84145   371.93707     0.02030     5.60434     0.00011    13.67384     0.00052     2.47720     0.02570     0.82573     0.00857    46.41741     0.36996     0.28840     0.00798
La085Sr015FeO3_700_red-00100.xye    10.85343   371.92934     0.02049     5.60431     0.00011    13.67370     0.00053     2.47701     0.02577     0.82567     0.00859    46.36174     0.37142     0.29107     0.00799
La085Sr015FeO3_700_red-00101.xye    10.85799   371.94049     0.02053     5.60439     0.00011    13.67371     0.00053     2.47834     0.02580     0.82611     0.00860    46.36299     0.37317     0.29292     0.00799
La085Sr015FeO3_700_red-00102.xye    10.86371   371.94398     0.02065     5.60441     0.00011    13.67374     0.00053     2.47717     0.02584     0.82572     0.00861    46.31951     0.37379     0.29443     0.00800
La085Sr015FeO3_700_red-00103.xye    10.89259   371.94219     0.02078     5.60441     0.00011    13.67367     0.00054     2.47692     0.02593     0.82564     0.00864    46.30633     0.37583     0.29598     0.00802
La085Sr015FeO3_700_red-00104.xye    10.88771   371.93713     0.02088     5.60439     0.00011    13.67357     0.00054     2.47769     0.02594     0.82590     0.00865    46.29024     0.37679     0.29789     0.00802
La085Sr015FeO3_700_red-00105.xye    10.94633   371.92112     0.02111     5.60431     0.00011    13.67338     0.00055     2.47661     0.02606     0.82554     0.00869    46.24325     0.37878     0.29959     0.00806
La085Sr015FeO3_700_red-00106.xye    10.92594   371.93706     0.02104     5.60443     0.00011    13.67336     0.00054     2.47947     0.02605     0.82649     0.00868    46.25135     0.38025     0.30108     0.00804
La085Sr015FeO3_700_red-00107.xye    10.99378   371.95377     0.02119     5.60453     0.00011    13.67349     0.00055     2.47566     0.02621     0.82522     0.00874    46.24226     0.38303     0.30238     0.00808
La085Sr015FeO3_700_red-00108.xye    11.02052   371.94037     0.02145     5.60445     0.00011    13.67341     0.00055     2.47757     0.02628     0.82586     0.00876    46.20493     0.38460     0.30454     0.00811
La085Sr015FeO3_700_red-00109.xye    11.03240   371.93166     0.02152     5.60442     0.00012    13.67325     0.00056     2.47734     0.02632     0.82578     0.00877    46.16145     0.38513     0.30542     0.00812
La085Sr015FeO3_700_red-00110.xye    11.03172   371.93488     0.02155     5.60445     0.00012    13.67320     0.00056     2.47767     0.02635     0.82589     0.00878    46.17138     0.38665     0.30688     0.00812
La085Sr015FeO3_700_red-00111.xye    11.06489   371.92148     0.02174     5.60438     0.00012    13.67305     0.00056     2.47887     0.02643     0.82629     0.00881    46.13454     0.38822     0.30841     0.00815
La085Sr015FeO3_700_red-00112.xye    11.09208   371.93135     0.02177     5.60446     0.00012    13.67301     0.00056     2.47718     0.02651     0.82573     0.00884    46.13868     0.39046     0.30956     0.00816
La085Sr015FeO3_700_red-00113.xye    11.12804   371.94176     0.02189     5.60453     0.00012    13.67308     0.00057     2.47618     0.02661     0.82539     0.00887    46.12642     0.39258     0.31082     0.00819
La085Sr015FeO3_700_red-00114.xye    11.16034   371.93736     0.02207     5.60450     0.00012    13.67306     0.00057     2.47597     0.02669     0.82532     0.00890    46.09366     0.39383     0.31239     0.00821
La085Sr015FeO3_700_red-00115.xye    11.17489   371.93734     0.02216     5.60451     0.00012    13.67298     0.00057     2.47728     0.02676     0.82576     0.00892    46.08573     0.39593     0.31407     0.00822
La085Sr015FeO3_700_red-00116.xye    11.21075   371.92570     0.02241     5.60443     0.00012    13.67298     0.00058     2.47731     0.02684     0.82577     0.00895    46.03440     0.39679     0.31579     0.00825
La085Sr015FeO3_700_red-00117.xye    11.23204   371.92639     0.02252     5.60445     0.00012    13.67288     0.00058     2.47700     0.02692     0.82567     0.00897    46.02369     0.39906     0.31758     0.00827
La085Sr015FeO3_700_red-00118.xye    11.26675   371.91888     0.02266     5.60442     0.00012    13.67275     0.00059     2.47757     0.02702     0.82586     0.00901    45.98123     0.40056     0.31875     0.00830
La085Sr015FeO3_700_red-00119.xye    11.30319   371.90769     0.02280     5.60437     0.00012    13.67261     0.00059     2.47911     0.02710     0.82637     0.00903    45.94917     0.40179     0.31961     0.00833
La085Sr015FeO3_700_red-00120.xye    11.32260   371.92420     0.02280     5.60448     0.00012    13.67267     0.00059     2.47827     0.02715     0.82609     0.00905    45.95081     0.40350     0.32051     0.00834
La085Sr015FeO3_700_red-00121.xye    11.36955   371.88766     0.02302     5.60429     0.00012    13.67223     0.00060     2.47759     0.02727     0.82586     0.00909    45.92014     0.40513     0.32127     0.00839
La085Sr015FeO3_700_red-00122.xye    11.37347   371.91672     0.02293     5.60447     0.00012    13.67242     0.00059     2.47723     0.02731     0.82574     0.00910    45.94091     0.40700     0.32218     0.00839
La085Sr015FeO3_700_red-00123.xye    11.38612   371.91461     0.02319     5.60443     0.00012    13.67255     0.00060     2.47759     0.02736     0.82586     0.00912    45.89107     0.40721     0.32360     0.00841
La085Sr015FeO3_700_red-00124.xye    11.42007   371.91768     0.02332     5.60445     0.00012    13.67255     0.00060     2.47652     0.02744     0.82551     0.00915    45.89160     0.40938     0.32492     0.00843
La085Sr015FeO3_700_red-00125.xye    11.48540   371.91224     0.02350     5.60443     0.00013    13.67247     0.00061     2.47774     0.02759     0.82591     0.00920    45.84702     0.41129     0.32558     0.00848
La085Sr015FeO3_700_red-00126.xye    11.47942   371.91577     0.02353     5.60447     0.00013    13.67242     0.00061     2.47786     0.02762     0.82595     0.00921    45.85641     0.41286     0.32698     0.00848
La085Sr015FeO3_700_red-00127.xye    11.52661   371.90338     0.02362     5.60443     0.00013    13.67215     0.00061     2.47707     0.02772     0.82569     0.00924    45.83028     0.41420     0.32681     0.00853
La085Sr015FeO3_700_red-00128.xye    11.55247   371.90151     0.02371     5.60442     0.00013    13.67211     0.00061     2.47759     0.02780     0.82586     0.00927    45.80868     0.41546     0.32726     0.00856
La085Sr015FeO3_700_red-00129.xye    11.56262   371.89480     0.02375     5.60439     0.00013    13.67204     0.00061     2.47797     0.02783     0.82599     0.00928    45.77519     0.41543     0.32759     0.00857
La085Sr015FeO3_700_red-00130.xye    11.59255   371.90546     0.02393     5.60444     0.00013    13.67219     0.00062     2.47831     0.02791     0.82610     0.00930    45.76613     0.41729     0.32901     0.00859
La085Sr015FeO3_700_red-00131.xye    11.62199   371.90188     0.02405     5.60442     0.00013    13.67214     0.00062     2.47662     0.02800     0.82554     0.00933    45.76331     0.41880     0.32975     0.00861
La085Sr015FeO3_700_red-00132.xye    11.66430   371.89371     0.02420     5.60437     0.00013    13.67206     0.00063     2.47901     0.02809     0.82634     0.00936    45.73536     0.42015     0.33038     0.00865
La085Sr015FeO3_700_red-00133.xye    11.65543   371.89413     0.02420     5.60439     0.00013    13.67201     0.00063     2.47766     0.02810     0.82589     0.00937    45.73139     0.42063     0.33096     0.00865
La085Sr015FeO3_700_red-00134.xye    11.71176   371.89722     0.02435     5.60441     0.00013    13.67203     0.00063     2.47922     0.02823     0.82641     0.00941    45.71591     0.42276     0.33144     0.00869
La085Sr015FeO3_700_red-00135.xye    11.73708   371.89505     0.02446     5.60439     0.00013    13.67203     0.00063     2.47871     0.02830     0.82624     0.00943    45.69282     0.42362     0.33186     0.00872
La085Sr015FeO3_700_red-00136.xye    11.72722   371.89081     0.02446     5.60437     0.00013    13.67195     0.00063     2.47733     0.02830     0.82578     0.00943    45.69596     0.42374     0.33208     0.00872
